Date,Close,High,Low,Open,Volume
2019-03-11,579.9122925,583.4252544,563.8591867,564.7707924,21258869
2019-03-12,592.0299072,593.2083156,584.425792,585.6042004,24561597
2019-03-13,599.1225586,604.7700011,590.5846348,594.5423269,24577591
2019-03-14,596.5656738,605.6594673,594.1421267,600.2120965,22753310
2019-03-15,587.7164307,604.2364101,583.0694685,598.0997698,34764353
2019-03-18,600.345459,603.8584801,590.9848634,591.8742058,22104063
2019-03-19,612.1295776,613.6637228,597.2548819,604.7700027,21448030
2019-03-20,611.6404419,617.221214,606.5488081,612.6854489,21639437
2019-03-22,596.6546631,614.0640473,594.4090436,610.32869,25078643
2019-03-25,588.9615479,594.4756489,585.515257,591.6963648,17394088
2019-03-26,607.9940186,609.9283678,591.4295129,591.5629143,20734876
2019-03-27,599.9897461,612.7521658,597.7663307,612.7521658,22079870
2019-03-28,604.7700195,609.1279752,597.1214972,600.4343865,22930248
2019-04-01,618.9332886,625.5812716,605.9040659,609.2169554,22088854
2019-04-02,617.9771729,623.9359448,613.7082108,621.6680624,17526740
2019-04-03,611.5292358,623.8914503,610.1062288,619.3334225,17169813
2019-04-04,601.6795044,615.3090614,599.1002929,613.2190476,18320845
2019-04-05,602.0574951,606.5043259,597.2104603,605.1925161,14717266
2019-04-08,591.0960083,603.6583553,588.6280535,602.9913485,19081843
2019-04-09,593.4083862,596.1876107,587.4273513,590.9403722,20774977
2019-04-10,592.052063,599.433842,589.8731149,594.9647482,16651949
2019-04-11,598.9003296,601.6573507,590.984944,592.7414251,12558520
2019-04-12,597.2549438,603.3915847,594.3867255,600.3232346,12948769
2019-04-15,595.9431152,599.8563405,593.6529695,598.0998002,9285737
2019-04-16,597.5439453,604.7700002,595.8763394,598.0997546,17360317
2019-04-18,616.3096313,617.9993818,606.9935029,611.4403335,39286534
2019-04-22,598.2554932,607.8828922,596.4544857,604.7700749,23607922
2019-04-23,606.4820557,610.5508858,598.5444678,599.4338101,19807450
2019-04-24,617.8882446,620.2450613,607.549313,609.3503204,16101112
2019-04-25,610.2841797,628.0715629,605.926283,617.7104266,30469914
2019-04-26,619.3556519,620.7564551,609.5281813,611.4403267,15069884
2019-04-30,619.3556519,620.9565275,607.7939043,620.9565275,22348580
2019-05-02,624.8031006,628.7385297,614.5975702,618.9999337,18992003
2019-05-03,626.4928589,630.3394132,623.7358381,626.0926548,14240262
2019-05-06,615.8426514,623.8025025,612.8187688,621.6680216,15832114
2019-05-07,597.4327393,620.3339569,595.9652651,620.2450227,19417647
2019-05-08,577.8444214,595.8763418,574.6204664,595.8763418,31958919
2019-05-09,558.7230835,573.1085831,556.6330694,573.1085831,42670173
2019-05-10,556.3662109,568.1725569,553.6313942,562.525055,24557430
2019-05-13,547.8727417,560.657364,545.8493989,554.9209873,17603659
2019-05-14,560.5018311,564.4595236,547.6282135,549.851629,28438234
2019-05-15,558.9230957,568.3059541,556.121608,566.0825389,24419559
2019-05-16,562.6806641,565.593349,559.4567094,560.2793806,14451308
2019-05-17,563.5922852,567.8389835,556.7441122,563.4144167,17276949
2019-05-20,589.6063232,594.8536213,579.6453919,584.136749,26979100
2019-05-21,595.7874146,607.8828266,591.4517816,592.4078543,30343560
2019-05-22,596.0542603,604.636652,593.6974435,598.3888731,24689918
2019-05-23,593.1637573,618.9998631,589.2060654,610.1062028,38766006
2019-05-24,594.4755859,602.0129698,585.4262607,599.4338178,22269265
2019-05-27,582.8249512,594.7647598,581.2018715,594.5868913,16076686
2019-05-28,588.6502075,593.5639722,584.0255088,586.8937268,42594251
2019-05-29,583.8921509,592.8970095,579.9344586,587.4273758,15558515
2019-05-30,591.3184204,596.765791,585.3151811,585.3151811,23494381
2019-05-31,591.4962769,596.7213118,587.0716501,594.9425676,25724066
2019-06-03,604.8589478,607.9939683,587.5162394,593.6528791,18556942
2019-06-04,601.0568848,611.1067495,599.4782725,603.6360368,15442761
2019-06-06,590.2510986,605.6149326,587.4718148,605.6149326,16764835
2019-06-07,584.7148438,590.2066815,580.5792829,589.6286089,14722419
2019-06-10,586.6046143,590.0953716,582.5802516,587.3828184,11768468
2019-06-11,591.0515137,593.4305935,586.0933411,587.8053548,11492074
2019-06-12,592.3855591,595.1648428,589.2060713,593.5195002,10297599
2019-06-13,590.206665,593.5195544,581.9355435,591.4295405,15686169
2019-06-14,585.8932495,589.206139,582.2690902,587.8275989,14942768
2019-06-17,570.2180786,586.9826558,568.5282689,586.9826558,14908257
2019-06-18,569.6400757,572.7306296,564.3483103,568.7062068,16797371
2019-06-19,568.0168457,578.9783156,561.4577981,572.2636034,14492763
2019-06-20,576.6437988,578.0890693,568.306006,569.1953484,10748848
2019-06-21,568.9730225,576.3103349,567.2165415,576.2880717,23236832
2019-06-24,561.3688354,567.6166129,559.0120192,565.7044678,11267228
2019-06-25,576.2435913,577.1996641,557.744735,559.8125452,14966899
2019-06-26,575.4876099,580.134572,572.019056,574.086866,11593027
2019-06-27,566.5939941,576.7105312,565.1931908,575.0429845,24905533
