"Date","Price","Open","High","Low","Vol.","Change %"
"03-08-2017","371.00","365.77","374.33","363.57","18.19M","1.28%"
"02-08-2017","366.30","361.98","367.76","361.55","19.19M","1.60%"
"01-08-2017","360.54","364.85","364.85","357.82","11.36M","-0.72%"
"31-07-2017","363.15","360.17","363.96","358.83","15.29M","1.30%"
"28-07-2017","358.49","357.77","361.07","354.79","13.23M","-0.02%"
"27-07-2017","358.56","366.03","366.82","357.11","16.99M","-1.72%"
"26-07-2017","364.85","360.68","366.46","359.98","20.26M","1.29%"
"25-07-2017","360.22","365.29","365.34","359.19","18.52M","-0.81%"
"24-07-2017","363.16","359.73","365.33","356.36","40.09M","1.91%"
"21-07-2017","356.36","348.49","357.87","347.36","89.66M","3.67%"
"20-07-2017","343.75","346.19","348.49","342.58","12.58M","-0.26%"
"19-07-2017","344.66","340.08","345.79","340.08","10.88M","0.86%"
"18-07-2017","341.72","347.77","348.90","339.72","18.13M","-2.06%"
"17-07-2017","348.89","345.57","350.65","345.57","17.31M","1.17%"
"14-07-2017","344.84","341.75","345.34","340.75","18.95M","0.77%"
"13-07-2017","342.22","339.22","342.87","338.63","21.24M","0.73%"
"12-07-2017","339.75","337.12","342.87","336.69","15.79M","1.12%"
"11-07-2017","335.98","337.48","338.24","334.33","19.38M","0.10%"
"10-07-2017","335.64","344.00","348.49","334.80","3.29M","0.11%"
"07-07-2017","335.26","324.43","336.74","323.76","33.09M","3.37%"
"06-07-2017","324.33","325.72","326.01","323.31","12.54M","-0.01%"
"05-07-2017","324.36","321.39","325.44","320.16","25.11M","1.46%"
"04-07-2017","319.70","312.52","320.86","312.29","17.37M","2.96%"
"03-07-2017","310.51","312.11","313.58","308.25","8.49M","0.08%"
"30-06-2017","310.27","312.97","313.06","309.16","7.21M","-0.91%"
"29-06-2017","313.13","314.77","317.02","312.54","11.91M","-0.41%"
"28-06-2017","314.43","323.75","323.75","313.77","14.37M","-2.69%"
"27-06-2017","323.12","321.96","324.43","320.39","30.08M","0.09%"
"23-06-2017","322.83","322.86","324.21","321.65","28.75M","0.22%"
"22-06-2017","322.11","321.39","324.97","320.99","20.42M","0.75%"
"21-06-2017","319.71","316.52","321.06","315.72","18.45M","0.68%"
"20-06-2017","317.54","316.79","319.74","316.44","9.36M","0.22%"
"19-06-2017","316.85","312.56","318.32","312.56","14.06M","1.47%"
"16-06-2017","312.25","312.32","313.82","307.86","30.19M","0.35%"
"15-06-2017","311.16","305.77","313.64","305.57","26.11M","1.95%"
"14-06-2017","305.21","295.86","305.77","295.86","48.86M","3.28%"
"13-06-2017","295.51","296.92","298.35","294.76","5.56M","-0.39%"
"12-06-2017","296.66","298.25","298.97","296.11","7.78M","-1.22%"
"09-06-2017","300.31","302.42","304.19","299.25","12.77M","0.30%"
"08-06-2017","299.41","301.28","302.36","298.59","7.29M","-0.54%"
"07-06-2017","301.05","294.80","301.73","294.31","10.34M","2.00%"
"06-06-2017","295.16","299.92","299.92","294.76","8.85M","-1.24%"
"05-06-2017","298.88","298.19","301.50","295.85","10.00M","0.35%"
"02-06-2017","297.85","300.15","300.98","296.11","10.61M","-0.26%"
"01-06-2017","298.64","299.64","301.28","297.45","8.80M","-0.93%"
"31-05-2017","301.43","307.35","307.56","300.33","15.16M","-1.37%"
