Date,Price,Open,High,Low,Vol.,Change %,Target
2015-12-10,213.67,207.41,214.45,206.85,17160000.0,3.76,1
2015-12-11,214.26,213.99,215.62,212.0,16760000.000000002,0.28,1
2015-12-14,214.74,213.05,216.63,212.69,9750000.0,0.22,1
2015-12-15,219.42,215.17,219.88,214.41,14510000.0,2.18,1
2015-12-16,220.03,219.42,222.03,218.88,11170000.0,0.28,1
2015-12-17,227.01,220.35,228.21,219.89,17880000.0,3.17,0
2015-12-18,223.01,225.69,226.86,222.59,14780000.0,-1.76,1
2015-12-21,223.06,222.11,224.61,221.31,11380000.0,0.02,0
2015-12-22,221.98,223.21,225.42,221.24,10690000.0,-0.48,1
2015-12-23,225.69,222.99,226.38,222.59,11920000.0,1.67,0
2015-12-24,224.96,225.71,226.45,224.0,10990000.0,-0.32,1
2015-12-28,227.17,224.97,227.93,224.83,11890000.0,0.98,1
2015-12-29,228.3,227.17,229.04,226.44,13770000.0,0.5,0
2015-12-30,225.85,228.21,228.43,225.28,7520000.0,-1.07,1
2015-12-31,228.12,225.6,229.26,224.63,17060000.0,1.01,1
2016-01-01,228.28,227.04,229.08,226.68,5000000.0,0.07,0
2016-01-04,223.78,225.96,227.94,221.84,27850000.0,-1.97,1
2016-01-05,225.99,224.9,227.08,224.16,13800000.0,0.99,1
2016-01-06,232.07,226.54,233.47,224.92,24700000.0,2.69,0
2016-01-07,227.81,229.57,231.13,226.64,18220000.0,-1.84,1
2016-01-08,230.62,229.33,232.23,228.59,19670000.0,1.23,1
2016-01-11,236.43,228.42,238.5,227.31,26780000.0,2.52,0
2016-01-12,235.05,237.2,239.54,234.07,21570000.0,-0.58,1
2016-01-13,242.11,236.77,245.01,235.45,66269999.99999999,3.0,0
2016-01-14,238.69,239.19,243.05,236.76,25680000.0,-1.41,1
2016-01-15,241.31,240.52,244.96,239.58,26550000.0,1.1,0
2016-01-18,228.62,241.7,243.71,226.65,25160000.0,-5.26,1
2016-01-19,234.64,231.35,236.03,228.0,19830000.0,2.63,0
2016-01-20,225.86,232.68,232.68,222.59,41640000.0,-3.74,0
2016-01-21,221.28,228.78,230.62,219.59,29320000.0,-2.03,1
2016-01-22,225.77,223.5,227.31,223.5,21860000.0,2.03,0
2016-01-25,225.72,227.08,229.05,224.83,12090000.0,-0.02,0
2016-01-27,224.69,226.65,227.08,224.15,15920000.0,-0.46,1
2016-01-28,228.63,225.06,229.73,224.18,21300000.0,1.75,1
2016-01-29,232.79,229.09,233.83,228.88,17700000.0,1.82,0
2016-02-01,231.65,233.82,234.23,230.58,9160000.0,-0.49,0
2016-02-02,225.09,231.65,232.21,222.7,13630000.0,-2.83,0
2016-02-03,220.65,222.14,223.48,219.21,14480000.0,-1.97,0
2016-02-04,218.77,222.14,225.06,217.12,16800000.0,-0.85,0
2016-02-05,218.29,220.13,220.79,216.15,19380000.0,-0.22,0
2016-02-08,216.08,218.34,221.42,215.38,11150000.0,-1.01,0
2016-02-09,215.28,214.24,217.82,213.59,18090000.0,-0.37,1
2016-02-10,216.44,213.97,218.76,213.29,15580000.0,0.54,0
2016-02-11,207.87,216.48,217.18,205.84,15800000.0,-3.96,0
2016-02-12,203.82,209.97,209.97,199.67,27060000.0,-1.95,1
2016-02-15,212.86,206.4,213.9,206.4,17800000.0,4.44,0
2016-02-16,209.22,213.84,215.39,208.42,12020000.0,-1.71,1
2016-02-17,214.18,210.24,215.27,206.04,14250000.0,2.37,0
2016-02-18,211.37,216.5,217.8,210.44,13320000.0,-1.31,1
2016-02-19,212.32,211.34,214.21,210.75,9450000.0,0.45,1
2016-02-22,216.36,212.27,217.71,212.27,11790000.0,1.9,0
2016-02-23,213.51,216.54,217.46,211.96,17530000.0,-1.32,1
2016-02-24,214.19,212.45,215.51,211.79,14020000.0,0.32,0
2016-02-25,212.27,214.54,215.06,211.53,22920000.0,-0.9,1
2016-02-26,213.67,214.27,215.56,212.31,7710000.0,0.66,1
2016-02-29,217.34,213.88,223.62,210.22,28640000.0,1.72,1
2016-03-01,220.63,216.9,221.47,216.89,15190000.0,1.51,1
2016-03-02,225.17,223.24,226.13,221.97,18560000.0,2.06,1
2016-03-03,227.72,227.08,228.88,224.27,14660000.0,1.13,0
2016-03-04,226.27,227.98,228.21,225.62,8300000.000000001,-0.64,1
2016-03-08,230.9,226.52,231.78,226.52,12200000.0,2.05,1
2016-03-09,234.21,229.33,234.7,229.02,10940000.0,1.43,0
2016-03-10,227.48,234.29,235.15,226.86,19110000.0,-2.87,1
2016-03-11,228.09,228.18,231.48,227.22,14140000.0,0.27,1
2016-03-14,229.27,229.13,230.77,227.75,10970000.0,0.52,1
2016-03-15,229.44,230.23,231.1,228.23,9680000.0,0.07,1
2016-03-16,229.72,229.56,230.63,226.06,10210000.0,0.12,0
2016-03-17,228.43,230.9,233.13,227.53,15540000.0,-0.56,1
2016-03-18,230.95,228.94,231.61,228.36,12950000.0,1.1,1
2016-03-21,233.22,231.12,234.16,229.95,11730000.0,0.98,1
2016-03-22,235.59,233.15,236.58,232.85,14150000.0,1.02,0
2016-03-23,231.4,235.38,235.38,229.87,15510000.0,-1.78,0
2016-03-28,229.42,231.58,231.96,228.35,16680000.0,-0.86,1
2016-03-29,232.98,230.18,234.28,229.38,14650000.0,1.55,1
2016-03-30,235.41,234.43,236.47,234.43,13340000.0,1.04,0
2016-03-31,235.0,234.05,237.42,232.19,28460000.0,-0.17,0
2016-04-01,232.58,233.62,235.24,230.45,11430000.0,-1.03,1
2016-04-04,232.71,233.83,234.32,230.52,7970000.0,0.06,0
2016-04-05,230.89,231.88,234.37,229.82,9470000.0,-0.78,1
2016-04-06,232.42,232.05,233.08,229.91,6450000.0,0.66,1
2016-04-07,233.21,232.68,235.63,229.8,8109999.999999999,0.34,0
2016-04-08,233.01,232.91,237.08,231.85,12380000.0,-0.09,1
2016-04-11,233.89,233.15,235.06,232.25,9510000.0,0.38,1
2016-04-12,235.49,233.89,237.75,233.39,10310000.0,0.68,1
2016-04-13,239.68,236.65,240.55,236.65,14800000.0,1.78,0
2016-04-18,239.39,239.63,239.85,237.29,17600000.0,-0.12,0
2016-04-20,233.22,240.39,240.39,232.88,20020000.0,-2.58,1
2016-04-21,234.09,234.14,236.52,232.7,10500000.0,0.37,0
2016-04-22,233.59,233.6,235.51,231.42,10800000.0,-0.21,0
2016-04-25,228.63,234.83,234.83,227.6,56450000.0,-2.12,1
2016-04-26,228.64,228.3,230.21,226.52,24390000.0,0.0,1
2016-04-27,229.2,228.86,230.67,228.43,13390000.0,0.24,0
2016-04-28,224.09,227.98,229.15,222.8,57180000.0,-2.23,0
2016-04-29,220.94,223.36,224.51,220.08,21670000.0,-1.41,1
2016-05-02,221.9,220.11,223.12,219.89,9800000.0,0.43,0
2016-05-03,219.39,222.14,223.7,218.71,16219999.999999998,-1.13,1
2016-05-04,219.91,219.0,221.17,218.76,12500000.0,0.24,0
2016-05-05,219.27,220.34,221.11,218.29,20000000.0,-0.29,0
2016-05-06,217.85,218.76,219.62,217.41,13610000.0,-0.65,1
2016-05-09,221.03,219.21,221.69,218.72,14170000.0,1.46,0
2016-05-10,220.91,221.03,221.39,219.89,6690000.0,-0.05,0
2016-05-11,219.3,218.49,220.51,218.09,11390000.0,-0.73,1
2016-05-12,223.21,219.44,223.53,219.22,11800000.0,1.78,0
2016-05-13,219.92,222.35,222.71,219.21,13520000.0,-1.47,0
2016-05-16,219.43,219.66,220.9,218.34,8610000.0,-0.22,0
2016-05-17,217.9,220.39,221.03,217.27,11220000.0,-0.7,1
2016-05-18,218.21,217.17,218.65,216.76,7600000.0,0.14,0
2016-05-19,213.86,218.47,218.52,212.6,8430000.0,-1.99,0
2016-05-20,210.04,214.04,214.6,209.4,17120000.0,-1.79,0
2016-05-23,209.1,210.75,211.5,208.12,16950000.0,-0.45,1
2016-05-24,211.44,208.66,212.24,208.66,11340000.0,1.12,1
2016-05-25,213.86,213.56,214.22,211.6,8530000.0,1.14,0
2016-05-26,212.88,213.59,214.13,212.27,13100000.0,-0.46,1
2016-05-27,219.15,213.38,219.64,213.31,12370000.0,2.95,0
2016-05-30,217.8,219.53,220.67,216.96,8890000.0,-0.62,0
2016-05-31,215.36,217.86,218.76,215.05,21540000.0,-1.12,0
2016-06-01,214.4,215.38,217.21,214.0,8350000.0,-0.45,1
2016-06-02,215.0,214.6,215.2,212.49,9460000.0,0.28,1
2016-06-03,215.76,215.84,216.49,214.91,7980000.0,0.35,0
2016-06-06,214.67,216.07,216.51,214.17,8010000.0,-0.51,1
2016-06-07,214.73,215.22,216.05,213.95,17490000.0,0.03,0
2016-06-08,214.51,215.39,215.39,213.4,11200000.0,-0.1,1
2016-06-09,218.35,215.84,219.54,214.99,14440000.0,1.79,1
2016-06-10,219.59,218.99,221.33,217.71,15060000.0,0.57,1
2016-06-13,220.58,218.07,221.11,216.53,9430000.0,0.45,0
2016-06-14,219.49,220.55,221.55,217.93,10080000.0,-0.49,1
2016-06-15,221.37,220.34,221.8,218.93,10270000.0,0.86,0
2016-06-16,219.5,220.56,221.16,217.43,8650000.0,-0.84,0
2016-06-17,219.19,219.66,220.03,218.11,9720000.0,-0.14,1
2016-06-20,222.63,218.57,223.17,217.64,9930000.0,1.57,0
2016-06-21,221.93,223.51,223.52,220.27,12860000.0,-0.31,0
2016-06-22,220.45,221.46,221.66,219.68,11800000.0,-0.67,0
2016-06-23,220.44,220.33,220.79,218.09,9080000.0,0.0,0
2016-06-24,213.92,216.94,216.94,209.86,23060000.0,-2.96,1
2016-06-27,214.86,211.46,215.48,211.46,8460000.0,0.44,1
2016-06-28,215.35,215.03,216.19,214.72,7020000.0,0.23,1
2016-06-29,217.39,216.29,217.85,215.84,6940000.0,0.95,1
2016-06-30,217.9,218.54,219.77,217.43,11780000.0,0.23,1
2016-07-01,218.86,218.71,219.62,218.09,6100000.0,0.44,1
2016-07-04,221.84,219.33,223.39,219.33,7200000.0,1.36,1
2016-07-05,223.28,221.71,225.49,220.4,10490000.0,0.65,0
2016-07-07,222.11,223.15,224.95,221.72,11100000.0,-0.52,0
2016-07-08,219.98,221.91,222.36,219.52,6590000.0,-0.96,1
2016-07-11,223.15,222.81,223.7,221.57,7630000.0,1.44,1
2016-07-12,225.6,223.77,225.96,222.81,9020000.0,1.1,1
2016-07-13,226.8,226.0,228.59,225.77,13770000.0,0.53,0
2016-07-14,225.94,226.65,228.0,224.44,9930000.0,-0.38,1
2016-07-15,227.58,226.86,229.56,225.62,12920000.0,0.73,0
2016-07-18,226.24,231.13,233.55,225.23,29630000.0,-0.59,1
2016-07-19,228.84,226.18,229.99,223.78,15370000.0,1.15,1
