Price,Open,High,Low,Vol.,Change %,Target
235.0,234.05,237.42,232.19,28460000.0,-0.17,0
232.58,233.62,235.24,230.45,11430000.0,-1.03,1
232.71,233.83,234.32,230.52,7970000.0,0.06,0
230.89,231.88,234.37,229.82,9470000.0,-0.78,1
232.42,232.05,233.08,229.91,6450000.0,0.66,1
233.21,232.68,235.63,229.8,8109999.999999999,0.34,0
233.01,232.91,237.08,231.85,12380000.0,-0.09,1
233.89,233.15,235.06,232.25,9510000.0,0.38,1
235.49,233.89,237.75,233.39,10310000.0,0.68,1
239.68,236.65,240.55,236.65,14800000.0,1.78,0
239.39,239.63,239.85,237.29,17600000.0,-0.12,0
233.22,240.39,240.39,232.88,20020000.0,-2.58,1
234.09,234.14,236.52,232.7,10500000.0,0.37,0
233.59,233.6,235.51,231.42,10800000.0,-0.21,0
228.63,234.83,234.83,227.6,56450000.0,-2.12,1
228.64,228.3,230.21,226.52,24390000.0,0.0,1
229.2,228.86,230.67,228.43,13390000.0,0.24,0
224.09,227.98,229.15,222.8,57180000.0,-2.23,0
220.94,223.36,224.51,220.08,21670000.0,-1.41,1
221.9,220.11,223.12,219.89,9800000.0,0.43,0
219.39,222.14,223.7,218.71,16219999.999999998,-1.13,1
219.91,219.0,221.17,218.76,12500000.0,0.24,0
219.27,220.34,221.11,218.29,20000000.0,-0.29,0
217.85,218.76,219.62,217.41,13610000.0,-0.65,1
221.03,219.21,221.69,218.72,14170000.0,1.46,0
220.91,221.03,221.39,219.89,6690000.0,-0.05,0
219.3,218.49,220.51,218.09,11390000.0,-0.73,1
223.21,219.44,223.53,219.22,11800000.0,1.78,0
219.92,222.35,222.71,219.21,13520000.0,-1.47,0
219.43,219.66,220.9,218.34,8610000.0,-0.22,0
217.9,220.39,221.03,217.27,11220000.0,-0.7,1
218.21,217.17,218.65,216.76,7600000.0,0.14,0
213.86,218.47,218.52,212.6,8430000.0,-1.99,0
210.04,214.04,214.6,209.4,17120000.0,-1.79,0
